sampleid,treatment,colony,time,time_point,reefsite_col_time
Par2_0,reef,2,0,0,reef_2_0
Par3_0,reef,3,0,0,reef_3_0
Par4_0,reef,4,0,0,reef_4_0
Par5_0,reef,5,0,0,reef_5_0
Par6_0,reef,6,0,0,reef_6_0
Par1_6m,reef6m,1,6m,1,reef_1_6m
Par2_6m,reef6m,2,6m,1,reef_2_6m
Par3_6m,reef6m,3,6m,1,reef_3_6m
Par4_6m,reef6m,4,6m,1,reef_4_6m
Par5_6m,reef6m,5,6m,1,reef_5_6m
Reb1,rebar,1,6m,1,rebar_1_6m
Reb2,rebar,2,6m,1,rebar_2_6m
Reb3,rebar,3,6m,1,rebar_3_6m
Reb4,rebar,4,6m,1,rebar_4_6m
Reb5,rebar,5,6m,1,rebar_5_6m
Reb6,rebar,6,6m,1,rebar_6_6m
Nurs2,nursery,2,6m,1,nursery_2_6m
Nurs3,nursery,3,6m,1,nursery_3_6m
Nurs4,nursery,4,6m,1,nursery_4_6m
Nurs5,nursery,5,6m,1,nursery_5_6m
Nurs6,nursery,6,6m,1,nursery_6_6m
Mars2,mars,2,6m,1,mars_2_6m
Mars4,mars,4,6m,1,mars_4_6m
Mars5,mars,5,6m,1,mars_5_6m
Mars6,mars,6,6m,1,mars_6_6m
Neg,neg,n/a,n/a,n/a,neg_n/a_n/a
