genus.x,color
g__Achromobacter,#ecbbaa
g__Aquamicrobium_A,#ecbdab
g__Actinophytocola,#ecbfac
g__Synechococcus_C,#e6b0b6
g__Qipengyuania,#e7aeb4
g__Sphingomonas,#e7acb1
g__Aquitalea,#e8aaae
g__RCC307,#e9a8ab
g__Brevibacterium,#eaa6a9
g__Streptomyces,#eba4a6
g__Paraburkholderia,#eca2a3
g__Aeromonas,#eda0a0
g__Amycolatopsis_D,#ee9e9e
g__Stenotrophomonas,#ed9f9e
g__Methylobacterium,#eda19f
g__Synechococcus_E,#eda3a0
g__Moraxella_A,#eda5a1
g__Janibacter,#eda6a1
g__Comamonas,#eda8a2
g__Psychrobacter,#edaaa3
g__Burkholderia,#edada4
g__Ornithinimicrobium,#edafa5
g__UBA1268,#edb1a6
g__Ralstonia,#edb3a7
g__Pseudomonas,#edb4a7
g__Rheinheimera,#edb6a8
g__Pseudonocardia,#ecb8a9
g__Acinetobacter,#ecbaaa
g__Micrococcus,#05BFB7
g__Rhodanobacter,#0B9BE6
g__Microbacterium,#3B6EA8
g__Kytococcus,#8DB8E9
g__Brachybacterium,#BD3535
g__Planktothricoides,#db1919
g__Marinomonas,#983333
g__Paracoccus,#E9E28D
g__Staphylococcus,#F7E624
g__Rubripirellula,#ff6600
g__Hymenobacter,#E66031
g__Escherichia,#F59E56
g__Pectobacterium,#F556A1
g__Kocuria,#F43770
g__UBA4441,#B80E6C
g__Cutibacterium,#912C92
g__Pantoea,#955AC6
g__Endozoicomonas,#D8B5F6
g__Pseudomonas_A,#31D977
g__Pseudomonas_E,#31D977
g__Shewanella,#107D3D
