sampleid, Aging, Amino acid metabolism, Biosynthesis of other secondary metabolites, Cancers: Overview, Cancers: Specific types, Carbohydrate metabolism, Cardiovascular diseases, Cell growth and death, Cell motility, Cellular community - eukaryotes, Cellular community - prokaryotes, Circulatory system, Development, Digestive system, Drug resistance: Antimicrobial, Drug resistance: Antineoplastic, Endocrine system, Energy metabolism, Environmental adaptation, Excretory system," Folding, sorting and degradation", Glycan biosynthesis and metabolism, Immune diseases, Immune system, Infectious diseases: Bacterial, Infectious diseases: Parasitic, Infectious diseases: Viral, Lipid metabolism, Membrane transport, Metabolism of cofactors and vitamins, Metabolism of other amino acids, Metabolism of terpenoids and polyketides, Nervous system, Neurodegenerative diseases, Nucleotide metabolism, Poorly characterized, Protein families: genetic information processing, Protein families: metabolism, Protein families: signaling and cellular processes, Replication and repair, Sensory system, Signal transduction, Signaling molecules and interaction, Transcription, Translation, Transport and catabolism, Unclassified: genetic information processing, Unclassified: metabolism, Unclassified: signaling and cellular processes, Xenobiotics biodegradation and metabolism,Secondary metabolism,Other metabolism
Par1_T0_S15,8.329263141,500.4069012,3.363865926,18.37591451,0.241119587,931.6688164,1.09012199,49.4226901,14.63222621,5.741202595,29.80711372,0.022149357,2.101670443,17.49425106,5.707380398,1.897267328,81.35487601,5439.459256,27.85794554,6.132823953,285.9373788,68.53490065,0.774560361,11.8263964,20.57952597,2.330466691,1.995419791,135.1864238,150.6125574,215.762392,45.13931289,138.1684837,4.752318717,87.98462051,178.3090387,200.1127497,1271.398976,391.0892319,477.8387553,132.8061698,0,386.4085317,5.120464748,152.8367398,401.399218,177.1525981,90.12241313,414.6700235,72.30713598,40.95798458,3.515550867,5.728787418
Par2_T0_S9,5.490221368,281.0456508,4.777997038,11.15769232,0.350075651,539.007032,2.245798569,33.30113692,1.268389332,6.238532031,9.900748711,0,1.031878835,7.38783592,0.844447432,2.275918348,40.78048238,8840.036482,26.79426566,9.390081532,187.2055392,40.38992287,0.306548173,10.07045216,8.631597421,0.701998404,2.574119057,85.17278916,55.75231089,173.4486448,17.87937974,55.48890625,3.117677579,55.35084026,124.212213,94.83974959,713.371809,296.7160228,203.3460027,56.37713645,0,224.1923354,2.330871593,106.7577412,228.9046169,126.0635999,18.84166956,227.5516211,17.46650676,23.44546758,1.243703601,3.733476729
Par3_T0_S11,2.230141932,164.9887737,0.528867604,6.64027564,0.108718919,341.7745409,0.258698632,15.78000649,1.382180372,1.687463942,5.781094979,0,1.571744383,3.968171442,0.781423178,1.692528677,27.34085436,27318.3212,10.43313113,3.416079851,112.3150279,20.35906079,0.413917812,3.334888194,10.12376811,0.684454068,1.273251128,50.76310693,31.25612204,62.2504371,13.57017145,35.18269905,2.33938581,35.68588795,52.98761126,50.26703095,374.5203258,137.6836644,134.1251752,42.03289382,0,138.2176716,1.199271485,62.77825557,122.452337,88.74599018,7.959168604,103.1226465,13.60094262,15.70182939,1.137502698,2.080826447
Par1_6m_S7,2.010269548,110.374809,0,5.45364141,0,264.1634242,0,5.660637452,19.44218059,0,26.25323602,1.443030699,4.18003653,0,3.693471431,5.170860003,6.831009532,41723.7746,9.480774698,0,48.97665072,37.9894181,0,7.277212645,2.820469093,0.299085733,0,55.09016678,22.3804701,42.09842356,15.10463034,12.11571789,2.232025901,24.98731768,63.52120292,39.41907881,213.3685914,105.0352703,127.2545277,36.17770114,0,125.0927314,0,34.13185806,64.85799707,21.4552331,35.77372269,95.61622914,21.01441559,9.359181802,0,0.173907848
Par2_6m_S8,4.329706335,239.0436077,3.136423934,9.271570025,0.386833951,496.2421207,0.719646731,21.62349344,5.056529958,3.962411152,11.30555266,0.025843452,1.330666532,7.394220399,1.417566993,2.671956676,34.40113245,12098.20468,20.41722147,4.159258694,165.736458,33.00375106,0.368191351,4.745750658,10.47161317,0.820326113,0.690389364,67.10338943,49.7730569,91.23737503,15.45292601,48.91341312,3.065931949,64.03608121,79.08795688,73.72179998,533.8395925,197.6585461,186.7625808,51.41617614,0,188.0246649,1.13843514,81.97615244,178.2850024,114.4295235,14.94367127,163.5705589,17.17477442,20.19355364,1.286653477,4.428164843
Par3_6m_S10,3.779825155,202.4110683,1.914876556,8.919968399,0.3016099,457.1448455,0.513712233,19.93557341,1.825161993,3.051099101,6.470826504,0,1.256075061,7.905207506,0.911681081,2.765590491,32.01966154,24062.68512,19.24639836,4.083817468,164.5582445,30.15049739,0.256856116,5.992271101,11.02403968,0.941732462,0.944504665,61.88110203,40.99472809,84.44295345,13.98517188,47.82083822,2.534296682,56.84283344,76.87021825,62.60180878,508.7873304,185.9296917,165.9559672,48.90011986,0.042510584,187.7999781,1.408298486,77.90592627,171.4741774,108.1545025,15.09922176,153.2457122,14.54414269,21.28636377,1.33539726,4.011742597
MARS2_S1,6.17954818,280.4957265,2.168228077,12.84466859,0.728364403,607.0588671,0.644734129,27.66009107,1.954070381,3.929562091,9.329524748,0,1.684120492,10.08657839,0.931227466,3.249362136,43.77776882,12200.46636,28.15888652,4.316388573,220.498821,41.89169915,0.748723504,9.18821728,13.72986857,1.202050705,1.486311048,84.16925654,59.21787001,117.2826159,20.65454782,70.5225946,3.087740121,79.87230317,103.9174532,82.48068889,719.2636379,263.8113901,226.6846043,65.74159354,0.058516055,259.5362284,2.38676512,110.856704,246.6740876,152.964985,20.57913487,229.3715204,19.32851612,29.9856342,2.523216791,4.420727732
MARS4_S14,2.119156448,232.5178619,3.960937718,3.75135795,0,432.2491423,0.341921856,29.68271673,22.26889622,3.680821111,91.61262404,0.13199774,0.398308969,3.694587115,7.906183182,1.365337446,17.54010326,79514.87018,10.19089476,1.661608274,101.025478,36.85048974,0,5.504658254,12.26080675,1.203979384,0.985399793,89.83630405,130.6720166,186.5555317,40.63710777,33.65881127,1.769166533,19.42663778,104.2444777,131.3442252,545.2554319,169.454562,338.6791915,78.48812991,0,176.4917143,0.494248022,55.0015848,181.2776054,51.64503829,70.7276904,198.0612996,75.37929133,15.94008096,4.377633272,4.998365739
MARS5_S2,4.831752557,256.6417025,2.361308142,7.440974763,0.701376493,471.3768095,0,34.06011304,5.746855755,10.63269306,10.41146743,0,0.58063054,6.656580337,1.01277773,0.799164561,38.61194292,78195.80014,24.73683739,0,138.1498107,40.03285671,0.508337091,10.99361455,15.71163946,1.588553409,0.432880804,69.6585731,49.70106759,92.73843459,13.66042246,47.13016525,1.793250529,48.31221522,85.22842434,58.43646041,562.3577577,221.0693375,198.4077115,52.01187139,0,242.4140762,2.109044364,97.01613386,175.5514679,110.3936578,21.82481219,197.0135364,17.89783159,22.72566426,0.827659418,1.45179571
NURS2_S4,3.634648904,213.3573647,1.952112077,8.038076731,0.242638951,376.0724241,0.890789814,24.78880701,2.560796539,4.760228441,6.958838578,0,1.833307637,6.623553069,0.940069,2.702365948,34.56728534,32185.23234,18.18623475,4.729420518,136.3732967,26.94212418,0,7.561931594,6.959798872,0.411809001,1.594971027,63.54006485,43.64430394,104.7205276,14.99244882,42.57874239,2.827940804,39.48881713,67.44302165,54.61183059,483.6994022,187.2816471,151.7082941,42.18788133,0,179.0159644,1.903633485,71.84299591,172.1614362,85.47968064,14.75514197,146.9652569,14.75882828,15.71916354,0.715110207,2.529342673
NURS4_S5,1.293071523,88.01108258,1.664699115,3.56881454,0.049020129,218.0919428,0.104979856,11.03881427,4.003410387,1.999354743,9.715330685,0.117078309,0.538873432,3.143039157,1.5140071,1.499067185,9.781345337,13366.56111,7.676236255,1.141176748,66.98599795,15.82039083,0.164483206,3.428951738,3.574107102,0.244708589,0.140900046,28.66047239,29.06382751,50.28970353,8.791820203,16.83636217,1.677147788,23.48488025,35.40627972,35.88865017,211.4667605,87.10100075,92.6836123,26.54039793,0,81.9280656,0.338828517,34.88729016,82.69760595,36.12305761,12.47987025,69.20868501,12.52835736,6.550406227,0.41028304,2.271796244
NURS5_S6,2.895954085,251.4301808,1.489448966,9.18797795,0.179071149,443.8863624,0,16.81528393,2.230085407,5.357706124,4.555275199,0,0.65338395,4.816733911,1.146439579,1.314542827,26.06971286,32037.0358,22.0149175,4.572563606,145.0519811,33.24749764,0.56813738,6.683239652,10.41478439,0.927647264,3.120802532,57.57979738,40.33191732,86.223307,12.94507733,50.33139812,4.745726286,44.86476605,70.24868733,63.23330947,518.4274781,188.4717286,180.9415055,46.45263685,0,189.8024217,2.284735204,85.65174398,170.2438372,96.38182884,14.508013,167.9323294,13.08432426,16.48780423,1.0113899,2.614083675
REBAR2_S12,6.306300218,259.6451301,1.879664569,10.15774583,0.797010668,515.7497205,0.870985777,25.00217457,1.888726937,3.617300695,7.068446563,0,1.875359668,8.229909102,1.336604209,3.851690496,39.78079786,28560.48297,22.93934952,3.983518614,177.9425522,35.13706712,0.252866838,7.806642629,13.36596044,2.277370889,1.145021479,78.72754004,54.64552345,95.96058888,15.25862965,58.60717025,2.832574628,54.40807026,87.26072262,70.81255256,601.8035423,232.0202379,200.4752049,57.34679458,0,231.4120607,1.996716625,89.21303928,214.1971723,128.6582424,16.91221105,192.7655737,15.13068593,24.0516954,1.81274234,2.373811687
REBAR4_S13,4.010826074,261.2594634,21.76399746,8.188620875,0.04712265,580.5372598,3.049914143,61.28843382,8.483655646,3.302364792,24.86393281,0.063487725,0.564266803,5.391648295,3.962310449,1.532593825,41.7774366,15458.32751,19.85524966,11.68441749,136.7609762,36.97068265,0.229129923,19.21895666,6.98876783,0.605509573,0.731057888,78.70333421,78.80820655,253.9680894,13.57594874,40.77581805,3.085512178,26.52147595,134.8107785,133.2864242,741.6129459,331.5376292,255.4067536,55.40745376,0,193.2148431,1.222270148,84.33761112,210.1227806,52.59002556,22.81278994,245.5346172,42.3219022,17.45387623,0.813504117,5.765862777
REBAR5_S16,5.551088765,396.8982933,1.509104895,11.47987452,0.792551885,539.9970378,0.28843047,26.33465481,1.213614586,2.429593011,11.03339161,0,1.344732359,9.427010263,0.790021631,2.725974103,47.20475238,4445.060441,27.71911885,4.08397649,197.4083236,38.04265502,0.310617429,7.505801035,15.69620101,1.451225821,1.022011685,75.28960399,69.38707949,104.0427589,16.26708679,72.93494237,2.517004867,62.67212304,91.38075754,98.4569841,763.6693435,256.6396875,212.9811462,69.0318661,0,302.879889,2.304683197,102.7830111,204.7789662,177.4516846,24.39431533,247.4291923,16.5276063,24.92033858,2.413193346,2.733679434
